emerg,243
childr,74
medic,112
sci,134
help,146
just,53
keep,213
child,45
rest,118
immigr,216
schools,25
through,147
partn,227
victim,54
priv,33
adv,230
wom,166
vet,76
busy,192
ment,34
cle,23
ins,238
to,135
program,136
fuel,218
tax,198
fin,24
forest,202
milit,170
bil,176
consum,75
rel,211
preserv,55
stop,35
auth,206
coast,36
dat,207
fraud,126
disast,188
govern,0
report,37
now,89
gen,102
trad,208
school,1
tre,189
resolv,177
defens,212
benefit,178
homeown,190
min,217
cre,162
clar,119
reform,220
dis,77
fisc,149
right,56
fair,38
our,209
fish,124
compens,78
continu,90
intern,57
sec,163
empow,3
convey,183
respons,39
reserv,165
bord,58
eq,91
transport,231
est,232
for,59
innov,103
rep,210
research,151
hist,104
mem,8
energy,150
market,81
stud,101
infrastruct,233
new,4
transp,184
reg,2
integr,219
med,5
elimin,6
hero,7
extend,41
paty,40
standard,26
drug,223
job,221
not,88
colleg,80
promot,61
recr,153
post,62
stem,179
by,181
on,120
protect,42
cov,43
healthy,79
freedom,235
study,9
technolog,193
against,44
foreign,167
credit,10
renew,27
enforc,214
corp,60
produc,64
first,92
agricult,117
soc,65
depart,137
exchang,155
loan,168
america,100
rur,180
guard,236
efficy,122
opportun,66
taxpay,107
unit,11
smal,138
loc,123
fed,194
law,21
from,195
fre,234
commun,196
teach,154
support,67
century,172
equ,28
system,215
cent,225
cho,197
int,237
seny,187
prev,82
war,68
a,145
ir,47
reauth,29
afford,83
hum,93
heal,69
park,157
al,129
qual,94
train,199
conserv,30
viol,152
educ,169
with,125
serv,95
account,200
wat,96
hous,139
amend,108
car,84
work,14
budget,171
us,182
employ,46
admin,222
flex,205
learn,141
wild,226
retir,70
are,164
control,201
famy,109
strengthening,71
ag,127
manufact,12
riv,13
modern,31
am,128
saf,97
oversight,140
trib,72
vot,173
cant,48
workforc,161
contract,105
in,49
ind,239
plan,160
improv,106
sav,98
par,110
herit,240
end,15
recovery,16
grant,22
enh,17
pay,111
hom,18
econom,113
access,191
food,148
ens,19
build,159
nat,185
you,130
simpl,142
competit,228
stat,241
oil,114
resourc,143
congress,131
lak,20
farm,203
assist,115
publ,50
medicaid,174
abus,99
debt,224
commit,63
develop,144
traffick,51
coin,32
grow,85
expand,156
man,86
reduc,132
land,186
off,229
reliev,116
fund,242
invest,133
no,73
inform,87
appropry,158
americ,204
the,52
op,121
spend,175
